day,time,Temp,Light,Humidity,Noise
30-07-2021,21:00,26.92,14.22,35,59.4900782
31-07-2021,08:00,26.93,14.22,35,80.55825638
31-07-2021,13:00,26.91,13.86,35,61.3573624
31-07-2021,17:00,26.91,14.31,35,65.47464227
31-07-2021,21:00,26.91,14.22,35,62.6589599
01-08-2021,08:00,26.91,14.22,35,64.70448567
01-08-2021,13:00,26.9,14.31,35,66.79803567
01-08-2021,17:00,26.9,14.22,35,78.10065149
01-08-2021,21:00,26.9,13.86,35,59.344099
02-08-2021,07:00,26.89,13.95,35,66.25890231
02-08-2021,13:00,26.87,13.77,35,72.56626668
02-08-2021,17:00,26.87,14.22,35,82.37328577
02-08-2021,21:00,26.86,14.22,35,64.83223424
03-08-2021,08:00,26.87,11.97,35,66.18271528
03-08-2021,13:00,26.89,11.43,35,62.7952241
03-08-2021,17:00,26.92,7.83,35,62.04679891
03-08-2021,21:00,26.94,7.515,35,66.63489906
04-08-2021,08:00,26.96,7.47,35,59.41770883
04-08-2021,13:00,26.99,7.605,35,63.3308925
04-08-2021,17:00,27.01,7.38,35,59.86798122
04-08-2021,21:00,27.04,7.38,35,60.99217426
05-08-2021,08:00,27.05,7.47,35,58.39350091
05-08-2021,13:00,27.08,14.13,35,60.99217426
05-08-2021,17:00,27.07,14.22,35,68.8200113
05-08-2021,21:00,27.08,14.22,35,72.3376742
06-08-2021,08:00,27.07,14.04,35,63.64532854
06-08-2021,13:00,27.07,14.22,35,62.14528275
06-08-2021,17:00,27.05,14.22,35,67.74170931
06-08-2021,21:00,27.04,14.31,35,62.76155247
07-08-2021,07:00,27.06,14.22,35,73.47668216
07-08-2021,13:00,27.05,14.13,35,62.92733973
07-08-2021,17:00,27.03,13.77,35,67.84776438
07-08-2021,21:00,27.01,13.68,35,70.65703125
08-08-2021,08:00,27.01,13.86,35,63.65910309
08-08-2021,13:00,27,14.04,35,67.39542729
08-08-2021,17:00,26.98,13.59,35,61.96635264
08-08-2021,21:00,27.01,13.59,36,78.29066562
09-08-2021,08:00,27.01,13.23,36,81.03263922
09-08-2021,13:00,27.02,13.23,35,64.96650907
09-08-2021,17:00,27.04,13.32,35,62.51827826
09-08-2021,21:00,27.03,13.5,35,60.86329777
10-08-2021,08:00,27.04,13.5,36,72.99194675
10-08-2021,13:00,27.05,13.59,36,60.5934785
10-08-2021,17:00,27.05,13.41,35,69.66592846
10-08-2021,21:00,27.05,12.78,35,86.61233842
11-08-2021,08:00,27.06,12.78,35,75.57744438
11-08-2021,13:00,27.07,12.78,35,59.93326811
11-08-2021,17:00,27.09,12.87,35,68.9316457
11-08-2021,21:00,27.09,13.77,35,80.28040649
12-08-2021,08:00,27.08,13.59,35,59.70024566
12-08-2021,13:00,27.08,13.77,35,83.06802309
12-08-2021,17:00,27.1,13.59,35,74.44401846
12-08-2021,21:00,27.11,13.77,36,70.25789354
13-08-2021,08:00,27.13,13.86,35,79.28504334
13-08-2021,13:00,27.13,13.77,35,61.62887075
13-08-2021,17:00,27.15,13.77,35,64.50553263
13-08-2021,21:00,27.17,13.86,35,67.39542729
14-08-2021,08:00,27.18,13.86,35,73.21372879
14-08-2021,13:00,27.18,13.77,35,66.52264494
14-08-2021,17:00,27.19,13.77,35,65.28036051
14-08-2021,21:00,27.2,13.59,35,60.81066649
15-08-2021,08:00,27.21,13.86,35,68.73115907
15-08-2021,13:00,27.22,13.95,35,62.6934356
15-08-2021,17:00,27.21,13.86,35,61.51780263
15-08-2021,21:00,27.2,13.77,35,62.44621471
16-08-2021,08:00,27.19,13.59,35,68.28117744
16-08-2021,13:00,27.19,13.95,35,58.5299327
16-08-2021,17:00,27.2,13.95,35,61.86369182
16-08-2021,21:00,27.22,13.77,35,59.90073835
17-08-2021,07:00,27.23,13.95,35,62.50037008
17-08-2021,13:00,27.26,13.86,35,65.66061113
17-08-2021,17:00,27.29,13.86,35,63.19541521
17-08-2021,21:00,27.3,13.86,35,61.3573624
18-08-2021,08:00,27.31,13.86,35,65.3460774
18-08-2021,13:00,27.32,13.95,35,76.48910357
18-08-2021,17:00,27.32,13.86,35,61.88440459
18-08-2021,21:00,27.3,13.86,35,59.99761936
19-08-2021,08:00,27.29,13.86,35,62.37289202
19-08-2021,13:00,27.28,13.95,35,62.60673287
19-08-2021,17:00,27.27,13.77,35,76.42415699
19-08-2021,21:00,27.27,13.95,35,76.3508482
20-08-2021,08:00,27.27,13.95,35,62.55388139
20-08-2021,13:00,27.24,13.95,32,65.4200109
20-08-2021,17:00,27.14,13.95,32,59.11544131
20-08-2021,21:00,27.09,13.95,33,59.9655726
21-08-2021,08:00,27.04,13.95,33,65.66927246
21-08-2021,13:00,27.02,13.95,33,61.04268018
21-08-2021,17:00,27.01,13.95,33,60.56553204
21-08-2021,21:00,27,13.95,34,60.36483428
22-08-2021,08:00,27.01,13.95,34,62.40969608
