Timestamp,xdk_id,Humidity,Pressure,Temperature,Light,Noise
2022-11-29 20:24:17,2,52,96572,28.761,11,23.239008
2022-11-29 20:24:23,2,52,96568,28.751,11,29.873884
2022-11-29 20:24:28,2,52,96572,28.761,11,23.925579
2022-11-29 20:24:33,2,52,96573,28.751,11,28.089476
2022-11-29 20:24:39,2,52,96570,28.751,11,34.482391
2022-11-29 20:24:44,2,52,96568,28.751,11,28.730804
2022-11-29 20:24:50,2,52,96568,28.751,11,40.256931
2022-11-29 20:24:55,2,52,96572,28.751,11,20.832556
2022-11-29 20:25:01,2,52,96571,28.741,11,21.23127
2022-11-29 20:25:06,2,52,96569,28.741,11,39.393101
2022-11-29 20:25:11,2,52,96573,28.751,11,25.345695
2022-11-29 20:25:17,2,52,96571,28.741,11,25.447887
2022-11-29 20:25:22,2,52,96579,28.751,11,42.764336
2022-11-29 20:25:28,2,52,96569,28.73,11,27.280352
2022-11-29 20:25:33,2,52,96572,28.73,11,22.245846
2022-11-29 20:25:38,2,52,96575,28.741,11,26.986795
2022-11-29 20:25:44,2,52,96572,28.741,11,25.2712
2022-11-29 20:25:49,2,52,96572,28.741,11,26.768826
2022-11-29 20:25:55,2,52,96572,28.741,11,39.883766
2022-11-29 20:26:00,2,52,96572,28.741,11,37.624912
2022-11-29 20:26:06,2,52,96575,28.741,11,29.012785
2022-11-29 20:26:11,2,52,96571,28.741,11,35.592617
2022-11-29 20:26:16,2,52,96572,28.73,11,22.73048
2022-11-29 20:26:22,2,52,96570,28.73,11,20.439459
2022-11-29 20:26:27,2,52,96579,28.73,11,37.320847
2022-11-29 20:26:33,2,52,96567,28.73,11,41.757671
2022-11-29 20:26:38,2,52,96571,28.73,11,25.039728
2022-11-29 20:26:43,2,52,96574,28.721,11,25.164713
2022-11-29 20:26:49,2,52,96572,28.721,11,37.094776
2022-11-29 20:26:54,2,52,96570,28.721,11,24.500376
2022-11-29 20:27:00,2,52,96570,28.73,11,25.781055
2022-11-29 20:27:05,2,52,96575,28.73,11,40.45224
2022-11-29 20:27:11,2,52,96574,28.721,11,35.61211
2022-11-29 20:27:16,2,52,96573,28.721,11,28.400091
2022-11-29 20:27:21,2,52,96570,28.721,11,26.164505
2022-11-29 20:27:27,2,52,96578,28.721,11,23.737183
2022-11-29 20:27:32,2,52,96575,28.721,11,32.263905
2022-11-29 20:27:38,2,52,96577,28.721,11,25.645327
2022-11-29 20:27:43,2,52,96577,28.721,11,25.781055
2022-11-29 20:27:48,2,52,96582,28.721,11,25.490959
2022-11-29 20:27:54,2,52,96577,28.71,11,25.713722
2022-11-29 20:27:59,2,52,96579,28.721,11,24.086449
2022-11-29 20:28:05,2,52,96584,28.73,11,26.842705
2022-11-29 20:28:10,2,52,96579,28.721,11,22.73048
2022-11-29 20:28:15,2,52,96575,28.721,11,28.112972
2022-11-29 20:28:21,2,52,96574,28.721,11,23.606884
2022-11-29 20:28:26,2,52,96576,28.71,11,25.241041
2022-11-29 20:28:32,2,52,96574,28.721,11,27.047117
2022-11-29 20:28:37,2,52,96577,28.721,11,28.057947
2022-11-29 20:28:43,2,52,96574,28.721,11,24.811954
2022-11-29 20:28:48,2,52,96573,28.721,11,28.522636
2022-11-29 20:28:54,2,52,96574,28.721,11,26.704483
2022-11-29 20:28:59,2,52,96573,28.721,11,24.24157
2022-11-29 20:29:04,2,52,96574,28.71,11,26.617188
2022-11-29 20:29:10,2,52,96571,28.71,11,27.994198
2022-11-29 20:29:15,2,52,96572,28.721,11,26.379311
2022-11-29 20:29:21,2,52,96570,28.71,11,27.184687
2022-11-29 20:29:26,2,52,96573,28.71,11,17.98616
2022-11-29 20:29:32,2,52,96576,28.71,11,38.515522
2022-11-29 20:29:37,2,52,96576,28.71,11,29.019129
2022-11-29 20:29:42,2,52,96570,28.71,11,26.332485
2022-11-29 20:29:48,2,52,96569,28.701,11,27.175005
2022-11-29 20:29:53,2,52,96570,28.71,11,29.289499
2022-11-29 20:29:59,2,52,96573,28.721,11,25.989767
2022-11-29 20:30:04,2,52,96568,28.701,11,30.285915
2022-11-29 20:30:10,2,52,96574,28.71,11,25.964218
2022-11-29 20:30:15,2,52,96571,28.71,11,36.327774
2022-11-29 20:30:21,2,52,96570,28.71,11,27.086868
2022-11-29 20:30:26,2,52,96570,28.71,11,24.658958
2022-11-29 20:30:31,2,52,96572,28.721,11,29.816219
2022-11-29 20:30:37,2,52,96570,28.71,11,43.696342
2022-11-29 20:30:42,2,52,96570,28.71,11,26.437143
2022-11-29 20:30:48,2,52,96571,28.71,11,27.501694
2022-11-29 20:30:53,2,52,96571,28.701,11,26.188906
2022-11-29 20:30:58,2,52,96576,28.701,11,26.617186
2022-11-29 20:31:04,2,52,96585,28.691,11,27.978111
2022-11-29 20:31:09,2,52,96567,28.71,11,26.650129
2022-11-29 20:31:15,2,52,96572,28.701,11,26.201054
2022-11-29 20:31:20,2,52,96568,28.701,11,32.013546
2022-11-29 20:31:25,2,52,96570,28.71,11,31.162149
2022-11-29 20:31:31,2,52,96574,28.701,11,27.51964
2022-11-29 20:31:36,2,52,96576,28.701,11,28.974522
2022-11-29 20:31:42,2,52,96571,28.691,11,27.634518
2022-11-29 20:31:47,2,52,96575,28.701,11,31.703676
2022-11-29 20:31:52,2,52,96571,28.691,11,35.728626
2022-11-29 20:31:58,2,52,96572,28.701,11,26.853157
2022-11-29 20:32:03,2,52,96577,28.701,11,29.773798
2022-11-29 20:32:09,2,52,96572,28.691,11,28.128565
2022-11-29 20:32:14,2,52,96567,28.691,11,23.017508
2022-11-29 20:32:20,2,52,96574,28.71,11,25.418934
2022-11-29 20:32:25,2,52,96574,28.691,11,24.553883
2022-11-29 20:32:30,2,52,96571,28.691,11,26.693666
2022-11-29 20:32:36,2,52,96573,28.701,11,27.447407
2022-11-29 20:32:41,2,52,96571,28.701,11,28.676262
2022-11-29 20:32:47,2,52,96570,28.701,11,26.139969
2022-11-29 20:32:52,2,52,96572,28.701,11,26.884363
2022-11-29 20:32:57,2,52,96571,28.691,11,22.335396
2022-11-29 20:33:03,2,52,96575,28.691,11,29.899841
2022-11-29 20:33:08,2,52,96572,28.701,11,20.832556
2022-11-29 20:33:14,2,52,96569,28.701,11,31.751253
2022-11-29 20:33:19,2,52,96570,28.691,11,27.203989
